Dates,ACC US Equity,AHH US Equity,AMH US Equity,ARE US Equity,BHR US Equity,CCI US Equity,CPT US Equity,DEA US Equity,DLR US Equity,EQIX US Equity,FPI US Equity,HASI US Equity,HST US Equity,HTA US Equity,IIPR US Equity,IRM US Equity,KRC US Equity,KREF US Equity,LAND US Equity,LSI US Equity,MPW US Equity,NLCP US Equity,NNN US Equity,PSA US Equity,PW US Equity,SAFE US Equity,SBAC US Equity,SPG US Equity,STWD US Equity
2017-10-06,44.84,13.93,21.50,120.45,10.01,101.52,92.41,20.58,118.22,448.83,9.10,23.82,18.34,29.76,18.83,38.12,72.32,21.28,13.69,54.83,13.05,#N/A N/A,41.70,213.42,5.91,18.65,147.32,160.24,21.65
2017-10-13,45.00,14.22,21.77,123.66,10.14,102.50,94.11,20.77,121.78,462.82,9.10,24.18,19.51,29.83,19.32,39.86,72.75,21.41,13.77,54.57,13.04,#N/A N/A,42.60,218.56,5.91,18.29,150.94,166.31,21.69
2017-10-20,43.62,14.17,21.58,122.26,10.01,104.99,92.26,20.32,123.39,468.76,9.08,25.22,19.46,29.77,18.36,40.92,72.22,21.16,13.71,54.97,13.33,#N/A N/A,41.72,215.09,5.75,18.38,147.89,164.72,21.94
2017-10-27,42.08,14.09,21.48,122.16,9.80,103.19,91.25,20.03,116.55,456.51,8.51,24.45,19.44,29.83,19.39,40.00,70.58,20.34,13.29,53.44,13.28,#N/A N/A,40.45,206.90,5.78,18.50,146.72,156.66,21.60
2017-11-03,41.87,14.46,21.41,125.30,9.02,106.51,92.49,20.41,119.06,486.65,8.55,24.02,19.63,30.08,19.63,40.12,72.64,20.36,13.64,56.68,13.59,#N/A N/A,40.81,208.97,5.74,18.02,154.53,155.00,21.61
2017-11-10,41.80,14.97,22.13,126.64,9.16,113.28,94.19,20.58,120.85,482.21,9.00,23.52,19.99,30.58,19.59,40.66,74.85,19.92,13.71,59.08,13.56,#N/A N/A,42.17,211.52,5.95,17.84,168.95,163.75,21.53
2017-11-17,41.89,15.05,21.45,126.21,9.10,110.02,93.08,20.82,118.11,472.80,9.01,23.73,19.89,30.56,19.49,40.77,74.13,20.27,13.44,59.12,13.78,#N/A N/A,42.54,211.85,5.82,18.20,165.21,161.95,21.58
2017-11-24,42.59,15.32,22.01,126.79,9.05,112.72,93.90,21.11,117.54,474.07,9.24,24.13,19.80,30.89,19.13,41.44,74.67,20.74,13.41,60.23,13.80,#N/A N/A,42.68,212.79,5.83,18.43,169.72,158.00,21.71
2017-12-01,42.80,15.38,21.56,128.69,9.15,112.55,91.77,21.20,118.81,469.16,9.00,23.92,19.51,30.75,18.90,40.75,75.58,20.48,13.50,60.15,13.80,#N/A N/A,41.77,212.07,5.77,18.10,169.16,162.35,21.65
2017-12-08,43.28,15.51,21.77,130.00,9.14,109.50,92.16,21.60,114.81,452.39,8.87,23.13,19.84,30.54,19.88,40.12,75.27,20.99,13.49,60.12,13.58,#N/A N/A,42.08,210.84,5.83,17.68,165.19,162.25,21.72
2017-12-15,42.58,15.70,22.25,132.84,10.15,110.65,93.06,22.09,114.46,457.85,9.52,23.95,20.14,31.40,24.80,37.68,75.32,20.80,13.11,60.19,13.99,#N/A N/A,43.26,211.56,5.74,18.01,163.68,167.81,21.80
2017-12-22,40.31,15.49,21.78,129.46,10.00,108.55,90.91,21.14,110.98,446.60,8.89,23.41,20.14,29.80,24.67,37.66,73.57,20.60,13.27,59.21,13.59,#N/A N/A,42.34,205.97,5.84,17.57,160.22,167.07,21.73
2017-12-29,41.03,15.53,21.84,130.59,9.63,111.01,92.06,21.34,113.90,453.22,8.68,24.06,19.85,30.04,32.31,37.73,74.65,20.01,13.43,59.38,13.78,#N/A N/A,43.13,209.00,5.82,17.60,163.36,171.74,21.35
2018-01-05,39.64,15.07,20.93,127.00,9.70,108.03,88.38,20.85,113.00,449.49,8.63,22.77,19.86,28.81,29.42,36.80,72.17,19.83,13.57,57.61,13.28,#N/A N/A,41.39,201.92,5.72,17.75,162.87,168.15,20.92
2018-01-12,38.95,14.37,20.46,125.12,9.52,103.57,84.77,20.52,105.78,435.95,8.67,22.45,20.36,27.29,30.25,36.22,71.55,19.80,13.39,55.95,12.76,#N/A N/A,39.95,193.55,5.84,17.93,155.94,165.51,20.94
2018-01-19,38.53,14.58,20.41,125.95,9.52,107.35,84.81,20.50,107.30,437.89,8.34,21.85,20.72,27.44,28.17,35.49,70.87,19.75,12.98,56.61,12.90,#N/A N/A,40.33,193.56,5.68,17.81,165.79,164.24,20.93
2018-01-26,39.31,14.65,20.36,126.47,9.68,110.63,86.48,20.87,111.65,441.59,8.26,22.15,21.24,27.71,29.21,35.76,71.53,19.73,13.07,56.07,13.14,#N/A N/A,40.78,192.85,5.76,17.74,172.28,163.71,21.05
2018-02-02,37.24,13.97,20.25,124.12,8.90,112.10,83.40,20.43,107.71,437.35,8.01,20.95,20.11,27.32,26.55,33.66,68.90,19.20,12.16,53.72,12.61,#N/A N/A,38.55,190.31,5.78,17.07,173.21,156.52,20.34
2018-02-09,35.48,13.15,18.86,118.04,8.71,103.86,80.75,20.03,102.21,425.81,7.59,20.70,19.52,26.20,26.49,33.10,65.45,18.71,12.10,52.37,12.44,#N/A N/A,37.29,187.16,5.74,16.53,159.73,157.20,19.75
2018-02-16,36.77,13.55,19.69,122.66,8.94,109.12,83.36,19.67,102.20,403.30,7.46,20.88,19.88,26.63,25.92,33.17,68.43,19.72,12.51,52.55,12.80,#N/A N/A,38.33,188.75,5.81,16.32,169.12,156.09,20.24
2018-02-23,37.66,13.47,19.27,122.65,8.88,110.44,81.76,19.60,102.20,394.84,7.51,18.77,19.21,26.10,25.89,31.96,68.38,19.70,12.79,53.27,12.66,#N/A N/A,38.29,195.68,5.81,16.60,172.93,156.66,20.18
2018-03-02,36.59,13.35,19.43,123.49,9.22,104.56,78.55,19.53,98.22,381.82,7.98,18.03,18.44,25.25,24.98,31.55,67.73,19.49,12.47,52.74,12.56,#N/A N/A,37.70,195.00,5.71,16.96,152.91,155.52,20.42
2018-03-09,37.95,13.63,19.78,125.98,9.82,110.99,82.54,19.93,103.14,395.16,8.61,18.46,18.91,25.64,26.55,33.25,70.07,20.15,13.02,53.81,13.06,#N/A N/A,38.74,199.96,5.75,17.08,166.49,156.57,20.97
2018-03-16,37.74,13.97,19.86,128.24,9.74,109.08,84.76,20.12,106.37,419.89,8.44,18.97,19.18,26.20,28.04,32.52,72.01,20.70,12.96,54.50,12.89,#N/A N/A,38.79,198.01,6.05,17.09,168.69,157.13,21.40
2018-03-23,36.01,12.97,19.05,118.60,9.27,109.66,81.09,19.62,102.30,401.68,8.25,18.83,17.98,25.11,26.02,30.89,68.54,19.79,12.78,53.55,12.48,#N/A N/A,37.32,193.05,5.80,16.13,168.87,151.73,20.92
2018-03-30,38.62,13.69,20.08,124.89,9.62,109.61,84.18,20.40,105.38,418.14,8.35,19.50,18.64,26.45,26.75,32.86,70.96,20.06,12.08,55.68,13.00,#N/A N/A,39.26,200.39,5.91,15.99,170.92,154.35,20.95
2018-04-06,38.72,13.66,19.71,122.07,10.20,108.01,84.89,20.16,104.30,407.04,8.22,19.12,18.45,26.43,30.32,33.53,69.49,19.90,12.78,56.79,12.69,#N/A N/A,39.36,199.28,5.81,16.54,169.73,154.10,20.97
2018-04-13,38.55,13.49,19.74,122.05,10.38,103.76,85.56,19.86,102.44,401.45,8.04,19.13,19.14,25.19,34.95,33.35,69.63,19.64,12.59,57.51,12.55,#N/A N/A,38.18,197.28,5.70,17.18,164.54,151.73,20.80
2018-04-20,38.06,13.40,19.73,121.30,10.24,102.62,84.77,20.12,102.32,406.06,7.85,19.53,19.42,24.57,31.51,33.34,69.08,19.79,12.41,56.90,12.44,#N/A N/A,37.51,192.75,5.77,17.49,165.69,147.25,20.67
